,,,value,value
,,,mean,std
dataset,model,metric,,
boston_asymmetric,gpr,mae,0.6445102988156255,0.0394592639113124
boston_asymmetric,gpr,nlpd,184.61741586841373,316.24166517821936
boston_asymmetric,gpr,rmse,0.7898641611039467,0.0846386625962127
boston_asymmetric,gpr,training_time,1.7870468083943707,0.1588788193032288
boston_asymmetric,rtgpr_irq,mae,0.49551821720503036,0.012798730418773196
boston_asymmetric,rtgpr_irq,nlpd,82.69178360992399,0.11791301503390565
boston_asymmetric,rtgpr_irq,rmse,0.5785021350844165,0.019097994912483224
boston_asymmetric,rtgpr_irq,training_time,5.117400795995491,0.9576302314334025
boston_asymmetric,t_vgp,mae,0.5269128016371788,0.002077049391420774
boston_asymmetric,t_vgp,nlpd,78.59400282566426,0.07140689380010502
boston_asymmetric,t_vgp,rmse,0.6381521628173976,0.005779488479565755
boston_asymmetric,t_vgp,training_time,30.780215166704146,6.159255479818671
energy_asymmetric,gpr,mae,0.5514668404479064,0.05637265158797767
energy_asymmetric,gpr,nlpd,123.22770694424932,1.2767496368788722
energy_asymmetric,gpr,rmse,0.6590640969202582,0.06932963486221512
energy_asymmetric,gpr,training_time,2.855066262499895,0.5990297092160811
energy_asymmetric,rtgpr_irq,mae,0.5071168325288926,0.1602154569450443
energy_asymmetric,rtgpr_irq,nlpd,124.40265656814145,2.0349915337251714
energy_asymmetric,rtgpr_irq,rmse,0.7155247512719903,0.11032757604801699
energy_asymmetric,rtgpr_irq,training_time,4.6874222627026025,2.061659074556634
energy_asymmetric,t_vgp,mae,0.44664268272123203,0.04682905321905133
energy_asymmetric,t_vgp,nlpd,112.78506468148521,1.5404397289818266
energy_asymmetric,t_vgp,rmse,0.525226095454879,0.06153155090654641
energy_asymmetric,t_vgp,training_time,34.09541984590178,11.010958335648144
synthetic_asymmetric,gpr,mae,1.1485379737166665,2.968888625311594e-06
synthetic_asymmetric,gpr,nlpd,58.58874280627447,9.965464978093105e-05
synthetic_asymmetric,gpr,rmse,1.2369881473158633,2.6072242457804565e-06
synthetic_asymmetric,gpr,training_time,1.0399697583925445,0.015305262776734763
synthetic_asymmetric,rtgpr_irq,mae,0.8286670708610326,9.095826233961179e-06
synthetic_asymmetric,rtgpr_irq,nlpd,57.009518603315506,0.00010338939829902126
synthetic_asymmetric,rtgpr_irq,rmse,0.8937863757411304,1.1010055473846255e-05
synthetic_asymmetric,rtgpr_irq,training_time,1.3654409915034194,0.018446816417024947
synthetic_asymmetric,t_vgp,mae,1.0601307525427688,4.7543451841225455e-05
synthetic_asymmetric,t_vgp,nlpd,57.23264553875473,0.0005826134495449121
synthetic_asymmetric,t_vgp,rmse,1.1484430069956615,4.4563337298451885e-05
synthetic_asymmetric,t_vgp,training_time,2.264504204102559,0.12000831895440117
yacht_asymmetric,gpr,mae,0.5475597223488136,0.06054190973321863
yacht_asymmetric,gpr,nlpd,48.81939167425529,0.3391091046355062
yacht_asymmetric,gpr,rmse,0.6175446141268959,0.08355762760381139
yacht_asymmetric,gpr,training_time,1.394309850106947,0.20885961483309423
yacht_asymmetric,rtgpr_irq,mae,0.36652640921020346,0.05526139206192213
yacht_asymmetric,rtgpr_irq,nlpd,47.58689850331725,0.6560658212019578
yacht_asymmetric,rtgpr_irq,rmse,0.5514694590657121,0.113135338403953
yacht_asymmetric,rtgpr_irq,training_time,2.1026184623944575,0.20255827436040405
yacht_asymmetric,t_vgp,mae,0.41046308487602196,0.0019320741869265005
yacht_asymmetric,t_vgp,nlpd,44.04212621744779,0.011363518741178533
yacht_asymmetric,t_vgp,rmse,0.45345001691948,0.0018859146929517108
yacht_asymmetric,t_vgp,training_time,5.6577302500983935,0.7827336337443123
