,,,value,value
,,,mean,std
dataset,model,metric,,
boston_uniform,gpr,mae,0.5237622616708966,0.1320340490818712
boston_uniform,gpr,nlpd,94.44542073644809,1.342164636048357
boston_uniform,gpr,rmse,0.6914904020098142,0.1480391260568326
boston_uniform,gpr,training_time,2.170734708290547,0.19982764269849262
boston_uniform,gpr_2,mae,0.40321200512629557,0.10824430654032008
boston_uniform,gpr_2,nlpd,7430053.032853988,4593214.184311746
boston_uniform,gpr_2,rmse,0.5400653347327578,0.15184914394692894
boston_uniform,gpr_2,training_time,2.2922788957017475,0.5878778007888348
boston_uniform,rtgpr_irq,mae,0.6191190515969405,0.1237930590404901
boston_uniform,rtgpr_irq,nlpd,92.50708564899068,0.9539026339651443
boston_uniform,rtgpr_irq,rmse,0.835555384154347,0.1540575753407183
boston_uniform,rtgpr_irq,training_time,5.457742833392695,1.2653243089784987
boston_uniform,t_vgp,mae,0.3030747078890904,0.012724580952757105
boston_uniform,t_vgp,nlpd,86.86581271516744,0.14836861973861462
boston_uniform,t_vgp,rmse,0.4050449901713583,0.025888726834486894
boston_uniform,t_vgp,training_time,25.327672750107013,10.026925724936298
energy_uniform,gpr,mae,0.25602583607518464,0.03154218903553504
energy_uniform,gpr,nlpd,136.1758030778139,0.5177952854244142
energy_uniform,gpr,rmse,0.34806594989223893,0.052938408612954777
energy_uniform,gpr,training_time,3.7110929750953803,1.048489393008603
energy_uniform,gpr_2,mae,0.21574040984730397,0.016390461456842736
energy_uniform,gpr_2,nlpd,3158682.0257784007,147021.15442056232
energy_uniform,gpr_2,rmse,0.2888198749355483,0.007396591590650162
energy_uniform,gpr_2,training_time,4.135852154321038,1.057233688068939
energy_uniform,rtgpr_irq,mae,0.2406661527423962,0.03764465162442168
energy_uniform,rtgpr_irq,nlpd,135.3941983098765,0.45719660790567135
energy_uniform,rtgpr_irq,rmse,0.32500385779591634,0.048340477747075596
energy_uniform,rtgpr_irq,training_time,5.588248208397999,3.3795285567390523
energy_uniform,t_vgp,mae,0.23763808221446658,0.05653329492429813
energy_uniform,t_vgp,nlpd,125.86552296106768,0.9430054719770198
energy_uniform,t_vgp,rmse,0.32805993072154893,0.073764821593451
energy_uniform,t_vgp,training_time,33.138066958397395,17.183702303404488
synthetic_uniform,gpr,mae,0.34565563915327857,1.4274351396999245e-06
synthetic_uniform,gpr,nlpd,51.38709181236307,4.763537305108426e-05
synthetic_uniform,gpr,rmse,0.45596060803375577,1.6203487466436125e-06
synthetic_uniform,gpr,training_time,1.200474333204329,0.05281221238005244
synthetic_uniform,gpr_2,mae,0.6767815095234313,0.003963194610287381
synthetic_uniform,gpr_2,nlpd,11497844.416675238,141359.79608309516
synthetic_uniform,gpr_2,rmse,0.8797892607817692,0.0054530278783820356
synthetic_uniform,gpr_2,training_time,1.7341803874005564,0.2646883426577901
synthetic_uniform,rtgpr_irq,mae,0.21738071777212933,4.794978703612257e-06
synthetic_uniform,rtgpr_irq,nlpd,50.43203379266869,9.085447700365377e-05
synthetic_uniform,rtgpr_irq,rmse,0.2850150575091554,4.701487217328977e-06
synthetic_uniform,rtgpr_irq,training_time,1.5125177001056727,0.06550406057493996
synthetic_uniform,t_vgp,mae,0.3027610804647379,3.3698260519406024e-05
synthetic_uniform,t_vgp,nlpd,47.57476074536236,0.0008132079720032424
synthetic_uniform,t_vgp,rmse,0.4082914904653737,3.446800628691499e-05
synthetic_uniform,t_vgp,training_time,2.5510621666093356,0.21335332137026392
yacht_uniform,gpr,mae,0.36136469408517574,0.1685664872691587
yacht_uniform,gpr,nlpd,55.18205580170661,0.9973376636787633
yacht_uniform,gpr,rmse,0.5348432668213993,0.23008444042685344
yacht_uniform,gpr,training_time,1.6020332375948783,0.07998279767343441
yacht_uniform,gpr_2,mae,0.5840086943401585,0.0021699890041066362
yacht_uniform,gpr_2,nlpd,8915282.193460505,58913.97302689785
yacht_uniform,gpr_2,rmse,0.772569622091082,0.0025503245628603027
yacht_uniform,gpr_2,training_time,1.9504750584019348,0.40101648881915836
yacht_uniform,rtgpr_irq,mae,0.2972488542560048,0.07908731224615517
yacht_uniform,rtgpr_irq,nlpd,54.00545074090966,1.0131465375725404
yacht_uniform,rtgpr_irq,rmse,0.4684789754186993,0.1442657239557062
yacht_uniform,rtgpr_irq,training_time,2.230431666702498,0.4577288515055417
yacht_uniform,t_vgp,mae,0.16193129751753396,0.008370843063558458
yacht_uniform,t_vgp,nlpd,50.27865310167146,0.022298751655033887
yacht_uniform,t_vgp,rmse,0.3058530034761252,0.0050959956973970506
yacht_uniform,t_vgp,training_time,6.139288791600848,1.232846367763797
